Identifier,Company Name,"Company Market Cap 
(Billions, USD)",Country of Headquarters,TRBC Industry Name,"ESG Score
(FY0)","SDG 3 Good Health and Well-being
(FY0)","SDG 9 Industry, Innovation and Infrastructure
(FY0)","ESG Score
In the last 5 FY",,,,,"SDG 3 Good Health and Well-being
In the last 5 FY",,,,,"SDG 9 Industry, Innovation and Infrastructure
In the last 5 FY",,,,
,,,,,,,,FY0,FY-1,FY-2,FY-3,FY-4,FY0,FY-1,FY-2,FY-3,FY-4,FY0,FY-1,FY-2,FY-3,FY-4
,,,,,,,,,,,,,,,,,,,,,,
INFY.NS,Infosys Ltd,68.89,India,IT Services & Consulting,90.51,TRUE,TRUE,90.51,90.96,92.63,91.58,89.59,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7267.T,Honda Motor Co Ltd,51.70,Japan,Auto & Truck Manufacturers,73.23,TRUE,TRUE,73.23,73.42,78.32,80.46,90.07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7011.T,Mitsubishi Heavy Industries Ltd,62.42,Japan,Consumer Goods Conglomerates,73.38,TRUE,TRUE,73.38,77.76,72.49,72.58,75.47,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6758.T,Sony Group Corp,149.68,Japan,Household Electronics,87.70,TRUE,TRUE,87.70,87.44,88.49,92.57,92.11,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
8035.T,Tokyo Electron Ltd,64.63,Japan,Semiconductor Equipment & Testing,72.45,TRUE,TRUE,72.45,66.26,72.71,71.67,71.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8411.T,Mizuho Financial Group Inc,61.20,Japan,Banks,70.57,TRUE,TRUE,70.57,71.88,79.46,75.49,75.06,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
TCS.NS,Tata Consultancy Services Ltd,139.46,India,IT Services & Consulting,68.45,TRUE,TRUE,68.45,71.51,80.45,81.80,80.67,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ICBK.NS,ICICI Bank Ltd,117.36,India,Banks,75.44,TRUE,TRUE,75.44,76.67,77.45,66.19,67.18,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
7203.T,Toyota Motor Corp,282.16,Japan,Auto & Truck Manufacturers,74.73,TRUE,TRUE,74.73,84.12,82.54,84.89,81.98,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,678.05,Taiwan,Semiconductors,84.55,TRUE,TRUE,84.55,81.22,82.38,83.24,83.49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1299.HK,AIA Group Ltd,74.74,Hong Kong,Life & Health Insurance,71.09,TRUE,TRUE,71.09,70.93,71.49,73.98,74.38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2317.TW,Hon Hai Precision Industry Co Ltd,57.90,Taiwan,Electronic Equipment & Parts,70.95,TRUE,TRUE,70.95,76.94,63.20,66.89,67.65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BRTI.NS,Bharti Airtel Ltd,132.36,India,Wireless Telecommunications Services,66.77,TRUE,TRUE,66.77,68.77,69.01,56.28,56.50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8766.T,Tokio Marine Holdings Inc,71.85,Japan,Property & Casualty Insurance,69.02,TRUE,TRUE,69.02,66.03,65.63,61.39,66.95,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
8058.T,Mitsubishi Corp,70.22,Japan,Diversified Industrial Goods Wholesale,69.87,TRUE,TRUE,69.87,75.41,77.75,85.49,85.52,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8031.T,Mitsui & Co Ltd,54.21,Japan,Diversified Industrial Goods Wholesale,67.24,TRUE,TRUE,67.24,62.96,69.63,63.77,66.67,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HDBK.NS,HDFC Bank Ltd,170.48,India,Banks,70.33,TRUE,TRUE,70.33,73.48,75.07,71.14,73.13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
600900.SS,China Yangtze Power Co Ltd,99.16,China,Electric Utilities,71.36,TRUE,TRUE,71.36,60.85,58.07,32.35,34.63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLL.NS,Hindustan Unilever Ltd,65.20,India,Personal Products,84.26,TRUE,TRUE,84.26,82.36,76.73,71.98,64.07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LART.NS,Larsen and Toubro Ltd,52.18,India,Construction & Engineering,83.07,TRUE,TRUE,83.07,75.66,77.16,76.44,74.73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
005930.KS,Samsung Electronics Co Ltd,257.26,Korea; Republic (S. Korea),Phones & Handheld Devices,76.63,TRUE,TRUE,76.63,75.73,80.11,83.01,83.36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BBCA.JK,Bank Central Asia Tbk PT,61.67,Indonesia,Banks,83.06,TRUE,TRUE,83.06,86.18,87.12,87.45,78.63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9434.T,SoftBank Corp,75.43,Japan,Wireless Telecommunications Services,75.62,TRUE,TRUE,75.62,79.36,77.51,68.51,70.36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4519.T,Chugai Pharmaceutical Co Ltd,98.19,Japan,Pharmaceuticals,78.14,TRUE,TRUE,78.14,77.96,74.78,70.77,70.08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6501.T,Hitachi Ltd,109.35,Japan,Consumer Goods Conglomerates,84.01,TRUE,TRUE,84.01,82.33,85.05,85.14,88.21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7010.SE,Saudi Telecom Company SJSC,62.23,Saudi Arabia,Integrated Telecommunications Services,77.74,TRUE,TRUE,77.74,65.28,68.16,63.30,48.70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KTKM.NS,Kotak Mahindra Bank Ltd,50.95,India,Banks,83.74,TRUE,TRUE,83.74,84.90,82.71,61.28,60.19,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
NTES.OQ,NetEase Inc,62.52,China,Online Services,67.80,TRUE,TRUE,67.80,71.95,70.12,67.58,46.75,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
0388.HK,Hong Kong Exchanges and Clearing Ltd,54.13,Hong Kong,Financial & Commodity Market Operators & Service Providers,68.81,TRUE,TRUE,68.81,69.10,66.60,68.34,67.44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8001.T,Itochu Corp,75.24,Japan,Diversified Industrial Goods Wholesale,70.69,TRUE,TRUE,70.69,64.76,64.77,70.43,70.50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0700.HK,Tencent Holdings Ltd,543.03,China,Online Services,88.08,TRUE,TRUE,88.08,84.98,84.63,81.95,75.00,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
601318.SS,Ping An Insurance Group Co of China Ltd,116.40,China,Life & Health Insurance,66.30,TRUE,TRUE,66.30,62.96,70.53,63.07,64.95,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
601088.SS,China Shenhua Energy Co Ltd,102.08,China,Coal,81.06,TRUE,TRUE,81.06,82.90,74.92,76.38,72.51,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
000333.SZ,Midea Group Co Ltd,73.88,China,"Appliances, Tools & Housewares",82.54,TRUE,TRUE,82.54,67.03,63.62,43.72,26.82,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
207940.KS,Samsung Biologics Co Ltd,52.67,Korea; Republic (S. Korea),Pharmaceuticals,82.03,TRUE,TRUE,82.03,83.32,77.05,73.97,63.39,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
9633.HK,Nongfu Spring Co Ltd,53.10,China,Non-Alcoholic Beverages,68.86,TRUE,TRUE,68.86,69.65,62.36,53.34,,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,
9618.HK,JD.Com Inc,57.02,China,Department Stores,77.48,TRUE,TRUE,77.48,64.28,65.68,69.83,28.42,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
8306.T,Mitsubishi UFJ Financial Group Inc,142.83,Japan,Banks,73.89,TRUE,TRUE,73.89,74.11,79.00,75.20,75.98,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
