Identifier,Company Name,"Company Market Cap
(Billions, USD)",Country of Headquarters,TRBC Industry Name,"ESG Score
(FY0)","SDG 3 Good Health and Well-being
(FY0)","SDG 9 Industry, Innovation and Infrastructure
(FY0)",YEAR,ESG,ESG3,ESG9
000333.SZ,Midea Group Co Ltd,73.88,China,"Appliances, Tools & Housewares",82.54,True,True,FY0,82.54,TRUE,TRUE
005930.KS,Samsung Electronics Co Ltd,257.26,Korea; Republic (S. Korea),Phones & Handheld Devices,76.63,True,True,FY0,76.63,TRUE,TRUE
005930.KS,Samsung Electronics Co Ltd,257.26,Korea; Republic (S. Korea),Phones & Handheld Devices,76.63,True,True,FY-1,75.73,TRUE,TRUE
005930.KS,Samsung Electronics Co Ltd,257.26,Korea; Republic (S. Korea),Phones & Handheld Devices,76.63,True,True,FY-2,80.11,TRUE,TRUE
005930.KS,Samsung Electronics Co Ltd,257.26,Korea; Republic (S. Korea),Phones & Handheld Devices,76.63,True,True,FY-3,83.01,TRUE,TRUE
005930.KS,Samsung Electronics Co Ltd,257.26,Korea; Republic (S. Korea),Phones & Handheld Devices,76.63,True,True,FY-4,83.36,TRUE,TRUE
0388.HK,Hong Kong Exchanges and Clearing Ltd,54.13,Hong Kong,Financial & Commodity Market Operators & Service Providers,68.81,True,True,FY0,68.81,TRUE,TRUE
0388.HK,Hong Kong Exchanges and Clearing Ltd,54.13,Hong Kong,Financial & Commodity Market Operators & Service Providers,68.81,True,True,FY-1,69.1,TRUE,TRUE
0388.HK,Hong Kong Exchanges and Clearing Ltd,54.13,Hong Kong,Financial & Commodity Market Operators & Service Providers,68.81,True,True,FY-2,66.6,TRUE,TRUE
0388.HK,Hong Kong Exchanges and Clearing Ltd,54.13,Hong Kong,Financial & Commodity Market Operators & Service Providers,68.81,True,True,FY-3,68.34,TRUE,TRUE
0388.HK,Hong Kong Exchanges and Clearing Ltd,54.13,Hong Kong,Financial & Commodity Market Operators & Service Providers,68.81,True,True,FY-4,67.44,TRUE,TRUE
0700.HK,Tencent Holdings Ltd,543.03,China,Online Services,88.08,True,True,FY0,88.08,TRUE,TRUE
0700.HK,Tencent Holdings Ltd,543.03,China,Online Services,88.08,True,True,FY-1,84.98,TRUE,TRUE
0700.HK,Tencent Holdings Ltd,543.03,China,Online Services,88.08,True,True,FY-2,84.63,TRUE,TRUE
0700.HK,Tencent Holdings Ltd,543.03,China,Online Services,88.08,True,True,FY-3,81.95,TRUE,TRUE
1299.HK,AIA Group Ltd,74.74,Hong Kong,Life & Health Insurance,71.09,True,True,FY0,71.09,TRUE,TRUE
1299.HK,AIA Group Ltd,74.74,Hong Kong,Life & Health Insurance,71.09,True,True,FY-1,70.93,TRUE,TRUE
1299.HK,AIA Group Ltd,74.74,Hong Kong,Life & Health Insurance,71.09,True,True,FY-2,71.49,TRUE,TRUE
207940.KS,Samsung Biologics Co Ltd,52.67,Korea; Republic (S. Korea),Pharmaceuticals,82.03,True,True,FY0,82.03,TRUE,TRUE
207940.KS,Samsung Biologics Co Ltd,52.67,Korea; Republic (S. Korea),Pharmaceuticals,82.03,True,True,FY-1,83.32,TRUE,TRUE
207940.KS,Samsung Biologics Co Ltd,52.67,Korea; Republic (S. Korea),Pharmaceuticals,82.03,True,True,FY-2,77.05,TRUE,TRUE
2317.TW,Hon Hai Precision Industry Co Ltd,57.9,Taiwan,Electronic Equipment & Parts,70.95,True,True,FY0,70.95,TRUE,TRUE
2317.TW,Hon Hai Precision Industry Co Ltd,57.9,Taiwan,Electronic Equipment & Parts,70.95,True,True,FY-1,76.94,TRUE,TRUE
2317.TW,Hon Hai Precision Industry Co Ltd,57.9,Taiwan,Electronic Equipment & Parts,70.95,True,True,FY-2,63.2,TRUE,TRUE
2317.TW,Hon Hai Precision Industry Co Ltd,57.9,Taiwan,Electronic Equipment & Parts,70.95,True,True,FY-3,66.89,TRUE,TRUE
2317.TW,Hon Hai Precision Industry Co Ltd,57.9,Taiwan,Electronic Equipment & Parts,70.95,True,True,FY-4,67.65,TRUE,TRUE
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,678.05,Taiwan,Semiconductors,84.55,True,True,FY0,84.55,TRUE,TRUE
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,678.05,Taiwan,Semiconductors,84.55,True,True,FY-1,81.22,TRUE,TRUE
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,678.05,Taiwan,Semiconductors,84.55,True,True,FY-2,82.38,TRUE,TRUE
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,678.05,Taiwan,Semiconductors,84.55,True,True,FY-3,83.24,TRUE,TRUE
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,678.05,Taiwan,Semiconductors,84.55,True,True,FY-4,83.49,TRUE,TRUE
4519.T,Chugai Pharmaceutical Co Ltd,98.19,Japan,Pharmaceuticals,78.14,True,True,FY0,78.14,TRUE,TRUE
4519.T,Chugai Pharmaceutical Co Ltd,98.19,Japan,Pharmaceuticals,78.14,True,True,FY-1,77.96,TRUE,TRUE
4519.T,Chugai Pharmaceutical Co Ltd,98.19,Japan,Pharmaceuticals,78.14,True,True,FY-2,74.78,TRUE,TRUE
4519.T,Chugai Pharmaceutical Co Ltd,98.19,Japan,Pharmaceuticals,78.14,True,True,FY-3,70.77,TRUE,TRUE
